# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
chin|[tʃɪn] n. 颏；下巴 v. 聊天；作引体向上|He gashed his chin badly when shaving.|他修面时把颏部刮破。
Chinese|[ˌtʃaɪˈniːz] n. 中国人；汉语 adj. 中国的；中国人的|The Chinese eat with chopsticks.|中国人用筷子吃饭。
chocolate|[ˈtʃɒklət] n. 巧克力；巧克力糖 adj. 巧克力的；巧克力色的|Never eat chocolate before dinner.|饭前不要吃巧克力。
choke|[tʃəʊk] vi. 窒息；阻塞 vt. 使窒息；阻塞 n. 窒息；阻塞|She found it hard to choke down her anger.|她感到难以压下心中的怒火。
choose|[tʃuːz] v. 选择；决定|It's up to you to choose where we should go.|我们要去的地点,由你负责选择。
chop|[tʃɒp] v. 劈；砍 n. 砍；剁|He chopped in with a sarcastic remark.|他突然插进一句讽刺的话。
Christian|[ˈkrɪstʃən] n. 基督徒 adj. 基督教的；基督徒的|He is a pious Christian.|他是一名虔诚的基督教徒。
Christmas|[ˈkrɪsməs] n. 圣诞节|We usually sing carols at Christmas.|圣诞节时，我们一般会唱颂歌。
cigarette|[ˌsɪɡəˈret] n. 香烟，卷烟，烟卷|He asked me if I had a cigarette lighter with me.|他问我身上是否带着打火机。
cinema|[ˈsɪnəmə] n. 电影院；电影(艺术|They streamed out of the cinema.|他们涌出电影院。
circle|[ˈsɜːkl] n. 圆圈；圈子 v. 划圈；包围|The dancers were standing in a circle around the fire.|舞者们围着篝火站成一圈。
circuit|[ˈsɜːkɪt] n. 巡回；线路 v. 巡回；绕 ... 环形|The commanding officer made a circuit of the camp.|指挥官在营地巡视一周。
circular|[ˈsɜːkjələ(r)] adj. 圆形的；循环的 n. 传单；通报|We can compute the circular area with radius.|我们能用半径计算出圆的面积。
circulate|[ˈsɜːkjəleɪt] vi. 流通；循环 vt. 使流通，使环流|Please open a window to allow the air to circulate.|打开窗子让空气流通。
circumference|[səˈkʌmfərəns] n. 圆周；周围|That point falls on the circumference of the circle.|那一个点落在这圆的圆周线上。
circumstance|[ˈsɜːkəmstəns] n. 环境；详情|He was forced by the circumstances to do this.|他做此事是为环境所迫。
citizen|[ˈsɪtɪzn] n. 公民；市民|He is a Dane inasmuch as he was born in Denmark, but he became a British citizen at the age of 30.|他按其出生在丹麦来说是丹麦人，但他在30岁时成了英国公民。
city|[ˈsɪti] n. 城市；都市 n. （伦敦最古老的金融商务中心）伦敦商业区|Beijing is a large city.|北京是一座大城市。
civil|[ˈsɪvl] adj. 公民的；文明的|The law shall strictly protect civil rights.|法律应严格保护公民的权利。
civilization|[ˌsɪvəlaɪˈzeɪʃn] n. 文明；开化|Chinese civilization is one of the oldest in the world.|中国文化是世界上最古老的文化之一。
civilize|[ˈsɪvəlaɪz] vt. 使开化；使文明|His wife has had a civilizing influence on him.|他妻子对改进他言谈举止有潜移默化的影响。
claim|[kleɪm] n. 要求；要求权 vt. 要求；请求|The matter claimed our serious attention.|这件事需要我们认真注意。
clap|[klæp] v. 拍手；轻拍 n. 霹雳声；轻拍|She clapped her hands in delight.|她高兴地拍手。
clarify|[ˈklærəfaɪ] vt. 澄清；阐明|These brief remarks may serve to clarify the fact.|这些简要的评论可以澄清事实。
clasp|[klɑːsp] n. 扣子；钩 v. 扣紧；紧握|The button won't clasp.|扣子扣不上。
class|[klɑːs] n. 等级；阶级 v. 分类|I wouldn't put him in the same class as Verdi.|我没把他看作是与维迪一个级别的。
classification|[ˌklæsɪfɪˈkeɪʃn] n. 分类；类别|There is a hierarchy in the classification of all living creatures.|一切生物均可按等级分类。
classify|[ˈklæsɪfaɪ] vt. 分类；归类|The books in the library are classified by subject.|图书馆的书是按科目分类的。
claw|[klɔː] n. 爪；钳 v. 抓；撕|Cats have sharp claws.|猫有锋利的爪子。
clay|[kleɪ] n. 黏土；泥土|Clay is a plastic substance.|黏土是可塑物质。
clean|[kliːn] adj. 干净的；纯洁的 adv. 完全地 n. 清洁 v. 打扫；清扫|You must keep your clothes clean.|你必须保持衣着整洁。
clear|[klɪə(r)] adj. 清楚的；明确的 v. 清空；清除 adv. 清楚地；彻底地 n. 空地|I made it clear to him that I rejected his proposal.|我清楚地告诉他，我拒绝了他的建议。
clearly|[ˈklɪəli] adv. 清楚地；显然地|She can reason very clearly.|她能很清晰地思考。
clerk|[klɑːk] n. 职员；办事员 vi. (作为职员)工作|The bank clerk peered at the customer through/from behind the grille.|银行的职员从格栅後面看著顾客。
clever|[ˈklevə(r)] adj. 聪明的；灵巧的|It's a clever speech, but there was no real meat in it.|这演说很动听，可是没什么内容。
cliff|[klɪf] n. 悬崖；峭壁|The sea had undermined the cliff.|海水侵蚀了悬崖的基部。
climate|[ˈklaɪmət] n. 气候；风气|Britain has a temperate climate.|英国气候温和。
climb|[klaɪm] v. 攀登；爬 n. 爬；攀爬处|I have some climbing plants in the garden.|我的花园里长着一些攀缘植物。
cloak|[kləʊk] n. 斗蓬；宽大外衣 v. 遮掩；隐匿|Dracula appeared, draped in a huge cloak.|吸血鬼披著一件大斗篷走了出来。
close|[kləʊs] v. 关；合拢 adj. 亲近的；近的 adv. 接近；靠近 n. 死胡同；完结|If you close your eyes, you can't see anything.|如果你闭上眼睛，就什么也看不见了。
closely|[ˈkləʊsli] adv. 紧密地；接近地|They are closely interconnected.|他们彼此紧密地联系着。
cloth|[klɒθ] n. 布；布料|This piece of cloth was eaten by a moth.|这块布被蠹虫蛀坏了。
clothe|[kləʊð] vt. 穿上；赋予|He had to work hard to feed and clothe the large family.|他必须努力工作才能使全家有饭吃，有衣穿。
clothes|[kləʊðz] n. 服装；衣服|She has good taste in clothes.|她对服装有很好的审美眼光。
clothing|[ˈkləʊðɪŋ] n. (总称)衣服；覆盖物|He discarded his winter clothing.|他把冬天穿的衣服都丢弃了。
cloudy|[ˈklaʊdi] adj. 多云的；阴天的|Tonight will be cloudy.|今天夜间多云。
club|[klʌb] n. 俱乐部；棍棒 v. 用棍棒打；分担花费|The tennis club has organized a dance.|网球俱乐部组织了一次舞会。
clumsy|[ˈklʌmzi] adj. 笨拙的；不得体的|The clumsy boy bumped into the table.|笨拙的男孩撞到桌子上。
coach|[kəʊtʃ] n. 教练；经济舱 v. 指导；训练|The football coach was criticized by the local paper.|这位足球教练受到了当地报纸的批评。
coal|[kəʊl] n. 煤；木炭 vt. 烧成炭；供应煤 vi. 加煤；装煤|He put a shovel of coal on to the fire.|他往火炉里加了一铲煤。
coarse|[kɔːs] adj. 粗糙的；粗俗的|The medicine powder is too coarse, keep grinding it.|药面太粗了，再磨细点。
coast|[kəʊst] n. 海岸；海滨|Spray slaps the coast ceaselessly.|海浪不停地拍打着海岸。
coat|[kəʊt] n. 外套；上衣 vt. 涂上；覆盖|You may hang your coat on the hook.|你可以把外套挂在钩子上。
cock|[kɒk] n. 雄禽；公鸡 v. 翘起；竖起|The cock has brighter coloured feathers than the hen.|雄鸟的羽毛比雌鸟的艳丽。
code|[kəʊd] n. 密码；法规 v. 制成法典；把 ... 编码|I can break the code of this box.|我能破译这个箱子的密码。
coffee|[ˈkɒfi] n. 咖啡；咖啡色|He put some sugar into his coffee.|他往咖啡里加了些糖。
coil|[kɔɪl] n. 卷；圈 v. 盘绕；卷成圈|He passed me a coil of thread.|他递给我一卷线。
coin|[kɔɪn] n. 硬币；金钱 vt. 铸造（钱币）；创造（新词） adj. 硬币的；投币的|He put a coin into the insertion slot.|他往投币孔投入一枚硬币。
cold|[kəʊld] adj. 冷的；寒冷的 n. 寒冷；感冒 adv. 完全地；彻底地|We lunched out on cold meat and salad.|我们午饭在外面吃的是凉肉和色拉。
collapse|[kəˈlæps] v. （使）倒塌；（使）崩溃 n. 倒塌；崩溃|The roof collapsed under the weight of snow.|房顶在雪的重压下突然坍塌下来。
collar|[ˈkɒlə(r)] n. 衣领；项圈 vt. 抓住；为 ... 戴上项圈|He grabbed my collar and pulled me towards him.|他抓住我的领子把我拉倒他面前。
colleague|[ˈkɒliːɡ] n. 同事|Please allow me to introduce my colleague Professor Zhang to you.|请允许我把我的同事张教授介绍给你。
collect|[kəˈlekt] v. 收集；聚集|He used to collect cards, but now he likes to collect stamps.|他以前收集卡片,现在却喜欢收集邮票。
collision|[kəˈlɪʒn] n. 碰撞；冲突|The car was completely wrecked by the force of the collision.|这辆汽车受到很大的撞击力而完全损坏。
colonel|[ˈkɜːnl] n. 上校|A colonel is subordinate to a brigadier general.|上校级别低于准将。
colony|[ˈkɒləni] n. 殖民地；侨居地|This country used to be a British colony in Asia.|这个国家曾是英国在亚洲的殖民地。
column|[ˈkɒləm] n. 栏；专栏|And in this column, you write down everything in the parcel.|在这一栏里,您要写上包裹里每一件东西。
comb|[kəʊm] n. 梳子；鸡冠 v. 梳理；彻底搜寻|She wore a small comb as an ornament.|她佩戴了一把小梳子作为装饰品。
combination|[ˌkɒmbɪˈneɪʃn] n. 结合；结合到一起的事物或人|It is the combination of wit and political analysis that makes his articles so readable.|他的生花妙笔与政治分析相得益彰，使他的文章脍炙人口。
combine|[kəmˈbaɪn] v. 联合；使结合 n. 集团；联合收割机|Two parties will combine to defeat the third.|两党派将联合以击败第三党。
comfort|[ˈkʌmfət] n. 舒适；安逸 vt. 安慰；使舒适|The dress is carefully styled for maximum comfort.|这服装精心设计，力求达到最大限度的舒适。
command|[kəˈmɑːnd] n. 命令；指挥 v. 命令；指挥|He growled a command to her to stop.|他咆哮着命令她停下来。
commander|[kəˈmɑːndə(r)] n. 司令官；指挥官|The commander ordered a counterattack.|司令官命令反攻。
comment|[ˈkɒment] n. 注释；评论 v. 评论；注释|The comment is recorded in the event log.|此注释将记录在事件日志中。
commerce|[ˈkɒmɜːs] n. 贸易；商业|We must promote commerce with neighbouring countries.|我们必须促进与邻国的贸易。
commercial|[kəˈmɜːʃl] adj. 商业的 n. 商业广告|Do you fancy having a go at doing a commercial feature film?|对制作商业的影片有没有兴趣?
commission|[kəˈmɪʃn] n. 佣金；委员会 vt. 授予；使服役|Do not deduct any commission from the consignment value.|不要从货物的价值中扣除佣金。
commit|[kəˈmɪt] v. 犯罪；承诺|They committed outrages on innocent citizens.|他们对无辜的市民犯下了暴行。
committee|[kəˈmɪti] n. 委员会|The committee meets at three today.|委员会今天三点开会。
commonly|[ˈkɒmənli] adv. 一般地；通常地|Commonly referred to as The Gita, it is a conversation between Krishna and Arjuna which takes place on a battlefield, just prior to the start of a climactic war.|一般地，提到了博伽梵歌，就会有一段奎师那和阿尔诸那之间在战场上的对话，刚好是在一场高潮战争的开始。
communicate|[kəˈmjuːnɪkeɪt] v. 传达；沟通|He has communicated his wishes to me.|他已经把他的愿望告诉了我。
communication|[kəˌmjuːnɪˈkeɪʃn] n. 交流；通讯|Being able to hold a conversation does not necessarily mean having effective communication.|能够对话并不意味着在进行有效的交流。
communism|[ˈkɒmjunɪzəm] n. 共产主义|Communism is based on Marxism.|共产主义是以马克思主义为基础。
communist|[ˈkɒmjənɪst] adj. 共产主义的 n. 共产主义者|The Communist form of government had not mellowed.|共产主义的政府形式还没有成熟。
community|[kəˈmjuːnəti] n. 社区；社会|Here is a local Jewish community.|这是当地犹太人的一个社区。
companion|[kəmˈpæniən] n. 同伴；志趣相投的人 v. 陪伴|He is a good companion on the journey.|他是个好旅伴。
company|[ˈkʌmpəni] n. 公司；商号 v. 陪伴|I work in a small company.|我在一家小公司工作。
comparative|[kəmˈpærətɪv] adj. 比较的；相当的 n. 比较级|He majored in comparative literature.|他的专业是比较文学。
compare|[kəmˈpeə(r)] v. 比较；对比 n. 比较；对照|I compared the copy with the original, but there was not much difference.|我比较了复印件和原件，但是差别不是很大。
comparison|[kəmˈpærɪsn] n. 比较；比喻|In comparison with other students, Mike is more diligent.|和其他学生相比，麦克更加勤勉一些。
compass|[ˈkʌmpəs] n. 圆规；指南针 vt. 达到；围绕|Now we begin to draw a circle with compasses.|现在我们开始用圆规画一个圆。
compel|[kəmˈpel] v. 强迫；迫使|Nothing can compel me to do such a thing.|没有什么可以强迫我做这件事。
compete|[kəmˈpiːt] v. 竞争；比赛|Companies must be able to compete in the marketplace.|公司一定要在市场中有竞争力。
competent|[ˈkɒmpɪtənt] adj. 有能力的；足够的|Her drawing is competent, but her composition is poor.|她的画有功力，但布局欠佳。
competition|[ˌkɒmpəˈtɪʃn] n. 竞争；比赛|Everyone in modern society faces keen competitions.|现代社会的每个人都面临着激烈的竞争。
compile|[kəmˈpaɪl] vt. 编译；编制|Your first program is ready to compile and run.|你的第一个程序可以编译和运行了。
complain|[kəmˈpleɪn] vi. 抱怨；控诉|The tourist complained that the room was too dirty.|游客抱怨说房间太脏了。
complaint|[kəmˈpleɪnt] n. 抱怨；疾病|You have no cause for complaint.|你没有理由抱怨。
complete|[kəmˈpliːt] adj. 完整的；完成的 vt. 完成；使完美|We'll certainly set up a complete modern industrial system.|我们一定要建立一个完整的现代化工业体系。
completely|[kəmˈpliːtli] adv. 完全地；十分地|I understand completely.|我完全明白。
complex|[ˈkɒmpleks] adj. 复杂的；合成的 n. 综合体；复合体|It was a complex problem.|这是一个复杂的问题。
complicate|[ˈkɒmplɪkeɪt] v. 使复杂化；使起纠纷 adj. 复杂的|There is no need to complicate matters.|没有必要使问题复杂化。
complicated|[ˈkɒmplɪkeɪtɪd] adj. 复杂难懂的；结构复杂的 动词complicate的过去式和过去分词.|The novel is too complicated for your age.|这小说就你的年龄来说太复杂了。
component|[kəmˈpəʊnənt] n. 零部件；元件 adj. 组成的；构成的|Each of the components is useful in its degree.|每一个元件都各有程度不同的用处。
compose|[kəmˈpəʊz] v. 作曲；创作|She began to compose songs at an early age.|她还很年轻时就已经开始创作歌曲。
composition|[ˌkɒmpəˈzɪʃn] n. 成分；作品|We examined the rock to find out its composition.|我们检验了这一石块,想弄清它的构成成分。
